Repo,Author,Star,Fork,Watch,Creation,Last Update,Language,Topic,Family,Platform
Absorber,DarkSecDevelopers,104,41,12,2018-12-01,2021-12-06,Python,"python, keylogger, pentest, gmail, keylog",keylogger,windows
keyLogger,michalmonday,17,7,5,2017-04-14,2019-10-09,Python,,keylogger,
keylogger,kmangalorekar,5,4,2,2016-07-21,2020-10-29,Python,,keylogger,linux
kl,surrealcristian,4,1,1,2015-06-29,2019-02-13,Python,,keylogger,linux
x11log,esonn,15,2,2,2015-10-08,2020-02-08,C,,keylogger,
kernel-based-keylogger-for-Linux,AlirezaChegini,15,7,2,2018-04-03,2021-12-02,C,"rootkit, keylogger","keylogger, rootkit",linux
net-keylogger,VittGam,30,15,10,2011-02-13,2021-12-08,,,keylogger,windows
SimpleKeylogger,Erickbarrera,6,3,3,2014-02-01,2017-09-01,C++,,keylogger,
keylog.io,b4dnewz,8,8,1,2018-02-03,2021-08-05,TypeScript,"keylogger, keylogger-analysis, socket-io, mitm-attacks, keylog, angular, administration-interface, express, socketio",keylogger,
keylogger_final,tarunyadav,0,2,1,2013-06-18,2013-12-12,Python,,keylogger,windows
simple-keylogger.github.io,simple-keylogger,3,2,2,2017-01-19,2021-07-26,HTML,keylogger,keylogger,"linux, mac, windows"
K3yP1,CuPcakeN1njA,21,3,7,2017-11-18,2021-09-20,Arduino,,keylogger,
CryptLog,3vilp4wn,2,5,3,2013-05-20,2021-01-10,Python,,keylogger,
LKM_KeyLogs,fakhrizulkifli,3,2,2,2015-11-01,2017-12-09,C,,keylogger,
Keylogger-,Creator69,48,30,14,2016-06-25,2021-12-15,C++,,keylogger,
kl,cmaruti,3,3,1,2013-03-06,2020-06-06,C++,,keylogger,
stealthy-Keylogger-lkm,maK-,8,8,4,2014-04-08,2018-08-05,C,,"keylogger, rootkit",
BlueIvy,OsandaMalith,7,3,1,2014-07-05,2021-06-12,Python,,keylogger,windows
A-Logger,lazorfuzz,1,2,3,2016-08-11,2019-04-01,C#,,"keylogger, spoof",windows
securelog,pr-nizar,10,4,2,2015-10-07,2019-06-04,C,,keylogger,"linux, windows"
The-GTK-Keylogger,David-Reguera-Garcia-Dreg,13,4,3,2018-01-17,2021-12-15,C,"keylogger, linux, c, asm, x64, x86, hooking, gtk",keylogger,"linux, windows"
keylogger,gearmover,18,4,3,2015-10-29,2019-03-17,Go,,keylogger,linux
Email-sending-keylogger,Nightadder,3,4,2,2014-03-20,2016-11-27,Visual Basic,,keylogger,
myhook,danamodio,9,5,4,2015-07-10,2020-10-11,C++,,"keylogger, virus",
WebMonitor-RAT-Cracked-by-Alcatraz3222,braga85,13,8,2,2019-03-12,2019-07-23,,,keylogger,windows
keylogger,wizlee,0,2,1,2015-06-11,2016-11-22,C#,,keylogger,windows
peylogger,asciimoo,6,3,1,2013-12-11,2020-04-29,Python,,keylogger,linux
go-keylogger,mtojek,34,4,4,2018-09-10,2021-09-03,Go,,keylogger,linux
Keylogger,karthikeyann,0,3,2,2015-08-14,2018-02-12,AutoHotkey,,keylogger,
Timber,peterwankman,0,3,1,2012-11-02,2013-12-17,C,,keylogger,
WiFiKeylogger,wchill,17,2,6,2016-04-12,2021-10-21,C++,,keylogger,
keyloog,programble,6,1,1,2011-04-28,2021-08-03,C,,"keylogger, spoof",
Advance-Python-Keylogger,mayurkadampro,9,1,0,2019-02-07,2021-12-12,Python,"python, python-keylogger, python-logger",keylogger,
KeyLogger,Dolfik1,4,2,1,2014-11-26,2019-05-02,C#,,keylogger,
AndroidKeyLogger,tomgersic,87,71,18,2012-07-31,2021-12-13,Java,,keylogger,android
keylogger,YassineFadhlaoui,4,2,3,2016-06-25,2021-11-20,Java,"keylogger, screenshot",keylogger,
evdev-keylogger,bingmann,4,2,3,2014-08-21,2020-01-11,C,,keylogger,linux
schn0rchli,pascal-gujer,6,0,2,2014-03-28,2021-02-07,C,,keylogger,
keylogger,weldan,4,2,3,2013-04-27,2020-05-28,JavaScript,,keylogger,
keylogger,honza,5,0,3,2017-04-28,2018-11-18,Clojure,,keylogger,
Axonode,TachyonRSA,1,3,1,2017-06-08,2018-11-01,C++,"keylogger, cpp, open-source, windows",keylogger,windows
MyKeylogger,jeonghwan-kim,0,1,2,2012-08-06,2015-06-01,C++,,keylogger,windows
uefilog,hummelchen,9,3,3,2017-05-10,2021-11-20,C,,keylogger,
unikeylog,hummelchen,4,2,2,2015-05-10,2017-11-30,C,,keylogger,linux
fff_keylogger,CezaryDanielNowak,4,0,4,2013-02-05,2018-05-26,JavaScript,,keylogger,
ruby-keylogger,maltoe,6,1,2,2013-03-26,2020-11-07,C,,keylogger,linux
klogger,carlos4ndre,0,3,1,2013-04-26,2021-05-09,C,,keylogger,linux
logkext,Kronuz,2,5,2,2012-11-10,2016-02-03,C++,,keylogger,"mac, windows"
KeyStealer,htll,6,2,12,2015-07-08,2019-08-18,C#,,"keylogger, spyware",windows
Linux-keylogger,kleytonluan,4,0,0,2018-02-10,2018-07-06,Shell,,keylogger,linux
ofxKeylogger,diederickh,12,0,3,2011-08-26,2020-12-18,C++,,keylogger,"mac, windows"
Unknown-Logger,kanegovaert,20,7,2,2017-09-05,2021-07-26,C#,"keylogger, monitor, hacking, windows-keylogger, low-level-keyhooks",keylogger,windows
radiologger,mcolonj,2,2,2,2016-07-16,2018-01-25,Objective-C,,keylogger,mac
KeyLy,Sanix-Darker,16,5,2,2017-08-27,2021-07-26,C++,"hacking, hacking-tool, keylogger, keyboard, mouse, hack",keylogger,
Spider,Manhelp,1,4,1,2014-11-24,2017-07-25,C++,,keylogger,
osx-keylogger,JustZisGuy,8,2,1,2017-06-08,2021-07-16,JavaScript,,keylogger,mac
poseidon,terremoth,4,2,2,2015-12-04,2021-07-26,HTML,"keylogger, keylogging, web, simple-project, ajax, php",keylogger,
cvhost32,crtmneric,4,1,1,2018-01-23,2021-07-26,C#,"keylogger, keylogger-analysis, penetration-testing, reverse-engineering","keylogger, virus",
Keylogger,laurinpaech,4,5,1,2017-04-24,2021-06-20,C,"keylogger, mac, macos, macosx, keystrokes",keylogger,mac
ShadowLogger,FarewellAngelina,0,3,0,2017-02-15,2021-10-11,C#,,keylogger,windows
OSXKeylogger,Dillon-Benson,5,0,3,2014-03-30,2019-05-01,Objective-C,,keylogger,
bb-keylogger,kfrapin,10,2,2,2011-03-27,2021-12-14,C,,keylogger,windows
LogThatShit,lsd,9,2,2,2012-03-27,2020-04-19,C,,keylogger,windows
Ulogger,atmoner,3,3,1,2018-06-20,2021-07-26,C++,"keylogger, php",keylogger,linux
keypresslog,marekfilip,2,0,2,2017-05-23,2017-11-10,Go,,keylogger,linux
Ares,MiserableHating,1,0,2,2018-06-05,2019-07-10,Python,,"keylogger, virus",
hardware-usb-keylogger,ridvanaltun,12,0,2,2017-01-02,2021-10-17,Arduino,"hardware-hacking, keylogger, arduino",keylogger,
Windows-Advanced-Keylogger,Obrelix,10,0,4,2017-01-04,2021-03-12,C++,,keylogger,windows
advanced-keylogger-lkm,Fedeorlandau,3,0,1,2016-05-17,2017-02-26,C,,keylogger,linux
goklogger,ljesparis,2,0,0,2017-12-12,2020-03-10,Go,"golang, golang-application, tool, keylogger, linux",keylogger,linux
SphereLogger,Emberium,5,1,0,2017-11-17,2020-05-01,Python,"python3, python, keyboard, keylogger, pentest, mail, tcp, sockets",keylogger,
Keylogger,nchacha,9,8,2,2018-02-01,2021-12-11,C++,,keylogger,windows
MiKey,lvrach,11,3,4,2013-02-26,2021-09-02,C,,keylogger,"linux, windows"
keylogger--chrome-extension-,jacekmusial,6,1,2,2014-05-25,2019-08-13,JavaScript,,keylogger,
Google-Chrome-keylogger-extension,M507,13,4,1,2019-05-25,2021-12-15,Python,"keylogger, redteam, post-exploitation, malware, browsers, javascript",keylogger,
OblivionKL,DiamoondWolf,1,0,0,2019-04-20,2019-06-26,Visual Basic,,keylogger,
IPLogger-e-Keylogger-PHP,hackerama,3,2,0,2017-07-21,2020-07-25,PHP,,keylogger,
userspace-keylogger,CydGy,2,0,2,2015-02-24,2017-07-01,C++,,keylogger,linux
kernelmodule-keylogger,CydGy,4,0,1,2015-02-24,2021-04-12,C++,,keylogger,linux
keyfucker,oscarlibre,2,0,1,2014-07-03,2017-02-19,Python,,keylogger,linux
ResearchLogger,roxana-lafuente,0,2,3,2015-07-13,2019-04-08,Python,"keylogger, python, xlib",keylogger,"linux, windows"
OopsMyKeyboard,ceb10n,4,0,2,2015-04-25,2021-03-03,C#,,keylogger,
Keylogger,kleton5,2,1,1,2018-03-19,2019-03-29,C#,,keylogger,
ultra-keylogger-plus,CaptainSandman,0,2,1,2013-05-19,2018-10-26,C#,,keylogger,
Basic-Keylogger,649,3,5,1,2018-02-01,2021-12-17,C++,,keylogger,windows
Spider,HippoBaro,6,1,2,2016-11-07,2021-08-05,C++,"keylogger, cpp11, zeromq, protobuf, win32",keylogger,
Keylogger-Apps,CHEF-KOCH,3,1,0,2018-04-20,2019-04-08,,,keylogger,
NTLogger,Netdex,5,2,2,2015-10-15,2021-07-26,C#,"keylogger, udp, network",keylogger,
DeeboLogger,SherifEldeeb,4,2,2,2013-01-29,2020-10-19,C++,,keylogger,
AyeAye,kavu,12,0,2,2014-05-04,2021-02-18,Go,,keylogger,
keylogger,mkpaszkiewicz,2,2,3,2016-01-08,2019-04-23,C,,keylogger,linux
hcon2019,joelsernamoreno,6,2,2,2019-02-08,2020-12-17,C++,,keylogger,
passman-paper,razeghi71,2,0,1,2016-02-11,2019-07-27,TeX,,keylogger,
DLL_keylog,0xvm,4,3,3,2018-11-24,2021-08-21,C++,,keylogger,
SilverHeart,PedrV,9,0,3,2019-03-21,2021-11-01,Python,"python3, keylogger, silverheart, windows","keylogger, spyware, trojan","android, linux, mac, windows"
MagnusKeylogger,diegolinhares,4,0,1,2016-06-17,2018-09-05,Java,,keylogger,
active-logger,abutun,2,1,2,2015-04-04,2018-10-23,C#,,keylogger,windows
x11Logger,gcmalloc,4,0,2,2011-05-11,2016-01-01,C,,keylogger,
SP_DZ-05_KeyLogger,MadMks,0,0,1,2018-12-01,2018-12-01,C#,,keylogger,
keylogger,ahmetfurkansonmez,0,0,1,2019-04-03,2019-09-09,Python,,keylogger,
Keylogger,0xDouze,0,0,3,2016-02-05,2016-05-30,C,,keylogger,"linux, windows"
KeyCapture,DeadlyHollows,0,0,0,2017-10-03,2017-10-03,Python,,keylogger,linux
hooker,Ivajkin,1,0,0,2014-01-09,2014-09-04,C#,,keylogger,
keylogger,tomridder,0,0,1,2018-05-23,2018-05-23,C++,,keylogger,
keylogger,TAKKEN666,1,0,0,2019-05-18,2019-05-18,Python,,keylogger,
kellogs,luiz-surian,0,0,1,2018-09-13,2018-09-13,Python,,keylogger,
cpp_spider,Nadroj27,0,0,0,2017-10-10,2017-10-10,C++,,keylogger,
MindKey,blackhack,0,0,0,2013-11-16,2016-04-10,C++,,keylogger,"linux, windows"
keylogger,xamirtz,1,0,1,2018-10-26,2019-11-20,C++,,keylogger,
KeyLoggerV2,Zeatz,0,0,2,2017-05-01,2017-05-01,C#,,keylogger,
SpyKey,QCX51,0,2,1,2017-11-01,2018-10-26,C#,,keylogger,
Keylogger,DevMilk,0,0,0,2018-10-30,2019-07-30,C,"hack, keylogger, keylogging",keylogger,
mon,thevoidf,0,0,1,2018-03-12,2019-01-22,Python,"python, python-3, keylogger, linux",keylogger,linux
Keylogger,sandovaltm,0,0,1,2018-12-14,2018-12-14,C++,,keylogger,
KeyLogger,Prajwalmithun,0,0,0,2019-06-19,2019-06-25,Python,,keylogger,
Keylogger,Ravenill,0,0,0,2018-04-17,2018-04-17,C++,,keylogger,
Keylogger,yassir-jaka,1,0,0,2019-04-17,2019-04-17,C#,,keylogger,
Keylogger,Whysmerhill,0,0,1,2018-03-19,2018-03-24,Python,,keylogger,windows
CssKeylogger,tanelhiob,3,1,0,2018-02-21,2019-12-25,HTML,,keylogger,
KeyLogger,GooogIe,4,0,1,2017-04-30,2021-04-21,Python,,keylogger,
Simple-Keylogger,webbrum,2,0,1,2010-03-26,2015-07-01,Python,,keylogger,
Python-Keylogger-,RohanDas28,4,1,0,2018-11-01,2021-11-14,HTML,"keylogger, python, pythonkey",keylogger,
chromelog,umairhaider,4,0,2,2018-02-14,2020-09-16,JavaScript,,keylogger,
Keylogger,Brunope,2,2,2,2013-09-24,2017-09-17,Python,,keylogger,windows
osx-keylogger,julien-h,2,0,1,2017-01-08,2018-09-05,C,,keylogger,mac
Keylogger-Chrome,saidgc,2,0,2,2018-05-09,2019-01-22,PHP,,keylogger,
opensourcekeylogger,megabayt93,2,1,1,2015-07-28,2015-07-29,C#,,keylogger,
lucikey,ScRiPt1337,2,1,0,2018-08-21,2019-02-18,Python,,keylogger,windows
python-keylogger,danielfsousa,3,1,1,2016-01-20,2019-09-13,Python,,keylogger,
linux-keylogger,nemumu,3,1,2,2014-05-02,2019-11-10,C,,keylogger,linux
KeyLogger,AzharMithani,5,1,1,2018-01-24,2021-11-01,C++,,keylogger,windows
keylogger,zhangriyueming,1,0,2,2016-03-21,2020-06-23,C++,,keylogger,
keylogger-sender,srajangarg,6,0,1,2015-06-25,2020-02-17,Python,,keylogger,windows
keylogger,MatthiasJReisinger,3,0,2,2013-05-21,2016-03-02,C,,keylogger,mac
Keylogger,Muhcim,1,1,2,2018-02-02,2018-03-12,C#,,keylogger,
keylogger,jsun454,0,0,0,2019-01-25,2019-02-02,Python,,keylogger,
keylogger,gbourgeo,1,0,1,2018-11-08,2020-09-08,C,,keylogger,
rohankey,Rohanhacker,0,0,0,2016-02-07,2017-03-06,TeX,,keylogger,
Keylogger,gregory-halverson,0,0,3,2014-10-12,2014-10-12,Python,,keylogger,
keylogger-ardamax,alingerth,0,2,1,2016-07-10,2016-07-10,,,keylogger,
chromeKeylogger,hakanonymos,11,4,0,2018-09-23,2021-05-26,HTML,,keylogger,
keylogger,teddywest32,0,0,1,2016-07-27,2016-10-11,Java,,keylogger,
keylogger,sachinlohith,0,0,1,2017-01-06,2017-01-06,C++,,keylogger,
pylogger,inknos,1,0,1,2017-12-24,2021-02-27,Python,,keylogger,
Velvet,pyoung21,0,0,1,2018-07-26,2018-08-19,C++,,keylogger,windows
FTP_Keylogger,kelvinsilva,2,0,1,2014-09-17,2021-11-18,C++,,keylogger,
Keylogger-in-Python,llarenas,0,0,1,2016-01-02,2016-01-02,Python,,keylogger,
KeyLogger,aiKelvin,0,0,1,2017-03-18,2017-03-18,C++,,keylogger,windows
keylogger,mezzan,0,0,1,2018-07-30,2018-07-30,Python,,keylogger,linux
Python-Keylogger,jingle1000,0,0,1,2018-12-02,2019-01-01,Python,,keylogger,
Keylogger,yoyotigo,0,0,0,2019-06-12,2019-08-08,Python,,keylogger,
Windows-Keylogger-Toolkit,mrbrinkman,1,1,0,2017-02-20,2017-05-11,Python,"python, malware-research, security, keylogger, keylogger-analysis","keylogger, spoof",windows
Keylogger-2,gitcollect,0,0,1,2016-07-21,2016-10-27,C,,keylogger,
KeyLogger,Nibba2018,1,0,1,2019-03-11,2020-05-28,Python,,keylogger,
KEYLOGGERS,andresflorezp,0,0,0,2019-05-06,2019-05-07,Python,,keylogger,
Keylogger,llDearHunterll,0,0,0,2019-05-05,2019-05-05,,,keylogger,
gh0stl0gg3r,gh0stc0d3,0,1,0,2019-06-17,2019-06-22,Python,,keylogger,"linux, windows"
keyLogger,frondel,0,1,0,2017-10-11,2017-10-11,Java,,keylogger,
T.D.S.T,xXSpartanMoDzXx,0,0,0,2017-10-18,2017-10-20,Visual Basic,,keylogger,
Keylogger,Elacior,0,0,0,2019-03-29,2019-03-29,Java,,keylogger,
pianist,agentydragon,0,0,1,2015-12-02,2016-09-27,Python,,keylogger,linux
windows-undocumented-apis,kphongagsorn,23,4,2,2017-09-20,2021-12-15,C#,,keylogger,windows
linux_keylogger,Niylaina,0,0,0,2018-06-04,2018-06-11,Python,"keylogger, linux, python",keylogger,"linux, windows"
logt3,SamyCoenen,0,0,1,2016-04-14,2016-07-25,HTML,,keylogger,
Keyloggerpart1,sayanmondal2098,0,0,1,2018-04-16,2020-08-26,Python,,keylogger,
CM-KeyLogs,LionThinKing,0,0,1,2017-04-08,2017-04-08,C++,,keylogger,
keylogger,dobrakmato,2,0,1,2017-09-27,2021-01-02,C,"keylogger, c, daemon, analytics",keylogger,windows
keylogger-dinleyici,ahmetfurkansonmez,0,0,1,2019-04-04,2019-04-04,Python,,keylogger,
Keylogger,mistaiker,0,0,1,2017-08-19,2017-08-19,C,,keylogger,
py-key-logy,Alafazam,0,0,2,2015-11-23,2015-11-24,Python,,keylogger,
windows_keylogger,waps12b,0,0,1,2015-03-25,2018-01-04,C#,,,windows
pyLog,psyche1981,0,0,1,2016-06-05,2016-06-05,Python,,keylogger,
KeyLogger,javierFerFer,0,0,0,2019-06-17,2019-06-20,Python,,keylogger,
snoop,b33son,0,0,2,2018-05-03,2018-05-03,Python,,keylogger,mac
Sample-keylogger,VincentSidot,0,0,1,2018-05-13,2018-05-13,C++,,keylogger,
poisoned-apple,scaccoman,3,1,0,2017-12-14,2021-02-06,JavaScript,"excel, macros, nodejs, javascript",keylogger,windows
keylogger,truegitnovice,0,0,0,2019-01-16,2019-01-17,,,keylogger,
Keylogger,Silverutm,0,0,1,2019-01-02,2019-01-07,C++,,keylogger,linux
KeyLogger,chenmic,0,0,0,2018-10-04,2018-10-04,Python,,keylogger,
tigerfly.apk,jctigerfly,0,1,0,2018-09-22,2020-01-21,Java,,keylogger,android
keylogger,AdrianJagielski,0,0,0,2019-02-26,2019-02-26,Python,,keylogger,
ProjectX,kashsingh,0,0,1,2015-07-19,2015-07-19,Python,,keylogger,
keylogger,lucaboieru,0,0,2,2014-01-02,2021-03-03,Python,,keylogger,
KeyLogger,asulwer,1,0,1,2016-10-11,2016-10-11,C#,,keylogger,
python-keylogger,eesnaola,0,0,0,2018-04-16,2018-04-16,Python,,keylogger,
dhdAlert,sveitleder,0,2,1,2016-06-30,2016-07-01,C++,,keylogger,"android, linux, mac, windows"
LINUX_Keylogger,JRyuzaki,0,0,2,2015-11-09,2015-11-09,C++,,keylogger,linux
spy_tux,inf0-warri0r,1,0,1,2012-07-28,2013-10-15,C,,keylogger,linux
xss-simple-keylogger,eugsokolov,0,0,2,2016-03-19,2016-03-19,JavaScript,,keylogger,
YAAkeylogger,kinpro,0,0,2,2015-01-18,2017-03-15,C,,keylogger,
KeyLogger,ljubodrag91,0,0,0,2017-04-14,2017-04-14,Java,,keylogger,
Keylogger,jo5ke,0,0,1,2017-09-28,2017-09-28,C++,,keylogger,
badlogger,badman89,0,0,1,2017-10-04,2017-10-04,Python,,keylogger,
MacKeyLog,akx,1,1,1,2017-10-17,2020-01-13,Python,,keylogger,mac
KeyLoggerWin,carlospolop,6,5,1,2018-06-07,2021-11-20,C++,,keylogger,windows
Keylogger,ManishVSC,0,0,0,2018-12-31,2018-12-31,Python,,keylogger,
keylogger,apurv97,0,0,0,2019-01-18,2019-01-18,Python,,keylogger,
keylog,rayl,0,1,4,2013-07-29,2019-03-02,C,,keylogger,linux
keylogger,gustavo84,0,0,1,2018-10-16,2018-10-16,Java,,keylogger,
Keylogger,nyhoo,0,0,1,2018-10-21,2018-10-28,C++,,keylogger,windows
keylogger,k4m1k4z13r,0,1,1,2019-03-19,2019-03-27,Python,,keylogger,
keylogger,ComlanGiovanni,0,0,1,2018-03-13,2018-03-15,C++,,keylogger,
JS-keylogger,RedNeckSec,0,0,1,2018-04-13,2018-04-13,HTML,,keylogger,
KeyLogger,pTriangle,0,0,0,2016-12-21,2017-01-05,C++,,keylogger,
keylogger,psribalaji,4,3,7,2017-12-07,2021-10-29,Java,,keylogger,android
Jquery-Keylogger,MarkiThePews,0,1,0,2017-04-13,2021-09-01,JavaScript,,keylogger,
KeyLogger,vvarunnelakuditi,0,0,2,2017-04-29,2017-04-29,Python,,keylogger,
keylogger_simple,Tob1112,0,0,1,2017-06-15,2017-06-15,C++,,keylogger,
PyKey-keylogger-,fjam,0,0,2,2018-12-03,2018-12-03,Python,,keylogger,
keylogger,bbrown005,0,0,0,2018-12-03,2018-12-05,Python,,keylogger,
KeyLogger,aznboystride,0,0,0,2018-01-30,2019-09-19,C++,,keylogger,
keylogger-python,lucaszeduardo,0,0,0,2019-01-11,2019-01-11,Python,,keylogger,
keylogger,schultzhenry,1,0,1,2018-06-05,2019-11-20,Python,,keylogger,mac
keySniff,maxdeliso,1,0,0,2011-11-16,2014-01-21,,,"keylogger, sniff",
J-keylogger,MGF15,1,0,2,2016-07-03,2020-12-30,Python,,keylogger,
KeyLogger-7.2.7,Kev-Jia,0,0,0,2017-10-21,2020-12-15,Python,,keylogger,
ArduinoKeyLogger,WhiteBoll,0,0,0,2018-04-14,2018-04-14,,,keylogger,
KeyLogger,ArpitKubadia,0,0,1,2017-11-21,2017-11-21,C++,,keylogger,
Keylogger,LutuluM,1,0,0,2018-10-06,2018-10-31,C,,keylogger,windows
Keylogger,Harkame,0,0,1,2016-01-24,2020-02-28,C++,,keylogger,windows
undetectable-keylogger,jamesjara,0,1,1,2014-10-28,2014-10-28,Pascal,,keylogger,
keylogger,arpankapoor,2,0,1,2014-11-06,2020-07-28,C,,keylogger,linux
-i-ero-keylogger,csbtwentyseven,1,0,1,2019-05-18,2019-10-19,HTML,,"keylogger, virus",
keylogger,teunvw14,0,0,0,2019-06-02,2021-08-29,C++,,keylogger,windows
PyLogger,gabrielbarone1,0,1,0,2019-06-21,2020-02-24,Python,,keylogger,
gyunLogger,Highsg19101,0,0,0,2017-06-01,2017-06-01,Python,,keylogger,
keyLogger,mdcotter,1,0,0,2013-02-18,2015-10-11,JavaScript,,keylogger,
keylogger,evshary,0,1,2,2013-04-05,2013-10-30,Python,,keylogger,
KeyLogger,stavskal,0,0,2,2015-03-19,2015-03-19,Python,,keylogger,windows
CSKL,somelizard,0,0,1,2018-08-22,2018-08-22,C#,,keylogger,
keylogger,david-moran,1,0,1,2015-07-17,2018-12-07,C,,keylogger,linux
keylogger,Tecnowiki,0,0,1,2016-01-02,2016-01-02,Python,,keylogger,
Windows-KeyLogger,mrjoema,0,0,1,2015-12-31,2016-06-10,C#,,keylogger,windows
mishagui,amaranto,0,0,1,2017-07-06,2020-04-23,C++,,keylogger,windows
Rust-Keylogger,elgohr,0,0,1,2016-08-28,2016-08-28,Rust,,keylogger,
klogger2013,tnt2017,0,0,0,2016-10-09,2016-10-09,C#,,keylogger,
Python-Keylogger,jitensinha98,0,1,0,2018-07-12,2018-07-28,Python,,keylogger,windows
Linux-KeyLogger,adityaachaubey,0,0,1,2018-09-06,2018-09-06,Python,,keylogger,linux
Javascript-Keylogger,ShinoNoNuma,1,1,1,2016-06-12,2019-05-21,PHP,,keylogger,
Keylogger,abhyudayasrinet,0,0,2,2015-03-13,2018-01-04,Python,,keylogger,
BasicKeyloggerCsharp,Nulleks,0,1,1,2016-02-24,2016-02-24,C#,,keylogger,windows
foxkeylogger,fenriquez1,0,0,1,2017-06-14,2017-06-15,C++,,keylogger,
KBKeyLogger,m301,1,2,2,2017-07-01,2021-10-14,Visual Basic,,keylogger,
Intermediate-Keylogger,petyurkutyur,1,0,1,2017-08-20,2018-01-29,C#,,keylogger,windows
keylogger,rounakdatta,0,0,1,2017-06-17,2017-06-17,Python,,keylogger,
Keylogger,donbale,0,0,2,2017-11-23,2017-11-23,Python,,keylogger,
Keylogger,M0ng00se7169,1,0,1,2018-09-08,2021-07-26,C++,,keylogger,
windowskeylogger,thisisyomans,0,0,0,2018-12-10,2018-12-11,Python,,keylogger,windows
CyberGateLogDecrypt,ArsenalRecon,4,5,7,2016-12-22,2021-04-22,Python,,keylogger,
Spider,j-bruel,0,0,0,2018-03-27,2020-12-25,C,,keylogger,"linux, windows"
logger,HenriqueHLB,1,0,1,2019-05-26,2019-06-01,Python,,keylogger,
Keylogger-v1.0,HamzaMPSY,0,0,0,2019-06-13,2019-07-22,C++,,keylogger,
keyLogger,vicmarmotte,0,1,1,2016-02-11,2016-09-19,C#,,keylogger,
blutrax,yanwarsolah,0,0,1,2015-09-03,2015-09-03,Python,,keylogger,windows
Logjamming,DasGespenst,1,0,1,2015-05-02,2016-11-18,Java,,keylogger,
keylogd,danigomez,1,0,2,2017-09-29,2021-07-26,C++,"daemon, linux, keylogger",keylogger,linux
SimpleKeyLogger,l4km47,0,0,1,2017-07-13,2017-07-13,C#,,keylogger,
csskeylogger,serhatgurkan,0,0,1,2018-07-09,2020-03-21,CSS,,keylogger,
KeyboardUtilities,maximeparis,0,0,0,2019-01-07,2019-01-07,C#,,keylogger,
little_tinny_keylogger,c0xffee,0,0,0,2018-08-13,2018-09-16,Python,,keylogger,
infector,mxpoliakov,0,0,0,2018-05-24,2018-05-24,C,,keylogger,
macos_keylogger,patrickcurrie,2,0,0,2018-02-03,2021-03-19,C,,keylogger,
Onyx,jajmo,0,0,2,2016-01-13,2016-01-13,C++,,keylogger,linux
Remote-Key-Logger,dbjpanda,0,0,2,2015-04-18,2021-02-28,C++,,keylogger,
Oooook,ZeroPoints,1,0,1,2014-01-04,2014-04-28,C++,,keylogger,
lokiLoggy,jasonssl,0,0,1,2017-01-23,2017-01-23,Python,,keylogger,
screencast-keylogger,lautr3k,1,0,0,2017-01-21,2021-08-02,JavaScript,,keylogger,windows
KeyLogger,anupamdalmia10,0,1,1,2016-08-09,2016-08-09,C++,,keylogger,
Keylogger,Zagonar,0,0,1,2016-10-28,2016-10-28,C++,,keylogger,
KeyLogger,Langriklol,2,0,1,2018-04-14,2020-10-15,C++,,keylogger,windows
keylogger,cys7885,0,0,2,2018-12-03,2020-04-05,C++,,keylogger,
keylogger,deepankchauhan,1,0,0,2019-01-28,2019-03-02,Python,,keylogger,
Keylogger4J,talk2morris,0,0,1,2017-03-16,2017-03-16,Java,,keylogger,
Keylogger,robocyber,2,0,0,2018-01-04,2019-08-14,,,keylogger,
PracticePythonKeylogger,Lychaon,0,0,0,2017-12-18,2021-03-27,Python,,keylogger,
C-HTTP-Keylogger,rohanshukla9,0,0,1,2017-01-28,2017-01-28,C++,"cpp, http",keylogger,
Key-Xcan,NoobieDog,1,2,0,2014-02-22,2020-04-01,C++,,keylogger,windows
davelogger,estckmix,0,0,0,2019-05-15,2019-05-15,C++,,keylogger,
ye-crew,Mancaat,0,0,0,2019-01-06,2019-06-17,,,keylogger,
Absorber,usama7628674,10,5,4,2018-12-01,2021-10-28,Python,"python, keylogger, pentest, gmail, keylog",keylogger,windows
chrome-keylogger,hakanonymos,11,7,1,2018-09-05,2021-10-01,PHP,,keylogger,
Keylogger,Unishshah,0,0,0,2017-11-17,2017-11-17,Java,,keylogger,
Ex-Keylogger,atjhoendz,0,0,0,2018-01-12,2018-01-12,Visual Basic,,keylogger,
Keylogger-With-ScreenshotCapture,codeit14,0,0,0,2018-01-17,2018-01-17,Python,"ethical-hacking, information-security, python3",keylogger,
Keylogger,ahmed-BH,1,1,1,2018-02-04,2021-05-13,Python,,keylogger,windows
keylogger,SerChirag,0,0,1,2017-08-06,2018-04-10,Python,"python, keylogger",keylogger,
logey,modihere,0,4,1,2017-10-05,2018-06-18,C++,,keylogger,
Klg,sakbhav,0,0,1,2014-09-16,2014-09-16,C++,,keylogger,windows
OS-Keylogger,fauzanriff,0,1,1,2015-01-31,2015-02-01,Makefile,,keylogger,
kalledox-keylogger,TGSec,0,0,2,2017-01-24,2017-01-26,Python,,keylogger,
KeyLogger,matr095,0,0,1,2016-12-11,2016-12-11,Java,,keylogger,
spk,krisfris,0,0,0,2018-04-08,2018-11-02,Python,,keylogger,linux
qlog,jemtucker,2,0,1,2017-03-25,2021-07-26,C,"linux, kernel-module, keylogger",keylogger,linux
keyhook,m80b33,0,0,0,2019-02-25,2020-07-17,Python,,keylogger,
